Tile:[(-16, 10)]:-:Pieces: []
Tile:[(8, 7)]:-:Pieces: []
Tile:[(-14, 6)]:-:Pieces: []
Tile:[(-13, 6)]:-:Pieces: []
Tile:[(-12, 6)]:-:Pieces: []
Tile:[(-11, 6)]:-:Pieces: []
Tile:[(-10, 6)]:-:Pieces: []
Tile:[(-9, 6)]:-:Pieces: []
Tile:[(-8, 6)]:-:Pieces: []
Tile:[(-7, 6)]:-:Pieces: []
Tile:[(-6, 6)]:-:Pieces: []
Tile:[(-5, 6)]:-:Pieces: []
Tile:[(-4, 6)]:-:Pieces: []
Tile:[(-3, 6)]:-:Pieces: []
Tile:[(-2, 6)]:-:Pieces: []
Tile:[(-1, 6)]:-:Pieces: []
Tile:[(0, 6)]:-:Pieces: []
Tile:[(1, 6)]:-:Pieces: []
Tile:[(2, 6)]:-:Pieces: []
Tile:[(3, 6)]:-:Pieces: []
Tile:[(4, 6)]:-:Pieces: []
Tile:[(5, 6)]:-:Pieces: []
Tile:[(6, 6)]:-:Pieces: []
Tile:[(7, 6)]:-:Pieces: []
Tile:[(8, 6)]:-:Pieces: []
Tile:[(-13, 5)]:-:Pieces: []
Tile:[(-12, 5)]:-:Pieces: []
Tile:[(-11, 5)]:-:Pieces: []
Tile:[(-10, 5)]:-:Pieces: []
Tile:[(-9, 5)]:-:Pieces: []
Tile:[(-8, 5)]:-:Pieces: []
Tile:[(-7, 5)]:-:Pieces: []
Tile:[(-6, 5)]:-:Pieces: []
Tile:[(-5, 5)]:-:Pieces: []
Tile:[(-4, 5)]:-:Pieces: []
Tile:[(-3, 5)]:-:Pieces: []
Tile:[(-2, 5)]:-:Pieces: []
Tile:[(-1, 5)]:-:Pieces: []
Tile:[(0, 5)]:-:Pieces: []
Tile:[(1, 5)]:-:Pieces: []
Tile:[(2, 5)]:-:Pieces: []
Tile:[(3, 5)]:-:Pieces: []
Tile:[(4, 5)]:-:Pieces: []
Tile:[(5, 5)]:-:Pieces: []
Tile:[(6, 5)]:-:Pieces: []
Tile:[(7, 5)]:-:Pieces: []
Tile:[(8, 5)]:-:Pieces: []
Tile:[(9, 5)]:-:Pieces: []
Tile:[(-13, 4)]:-:Pieces: []
Tile:[(-12, 4)]:-:Pieces: []
Tile:[(-11, 4)]:-:Pieces: []
Tile:[(-10, 4)]:-:Pieces: []
Tile:[(-9, 4)]:-:Pieces: []
Tile:[(-8, 4)]:-:Pieces: []
Tile:[(-7, 4)]:-:Pieces: []
Tile:[(-6, 4)]:-:Pieces: []
Tile:[(-5, 4)]:-:Pieces: []
Tile:[(-4, 4)]:-:Pieces: []
Tile:[(-3, 4)]:-:Pieces: []
Tile:[(-2, 4)]:-:Pieces: []
Tile:[(-1, 4)]:-:Pieces: []
Tile:[(0, 4)]:-:Pieces: []
Tile:[(1, 4)]:-:Pieces: []
Tile:[(2, 4)]:-:Pieces: []
Tile:[(3, 4)]:-:Pieces: []
Tile:[(4, 4)]:-:Pieces: []
Tile:[(5, 4)]:-:Pieces: []
Tile:[(6, 4)]:-:Pieces: []
Tile:[(7, 4)]:-:Pieces: []
Tile:[(8, 4)]:-:Pieces: []
Tile:[(9, 4)]:-:Pieces: []
Tile:[(-12, 3)]:-:Pieces: []
Tile:[(-11, 3)]:-:Pieces: []
Tile:[(-10, 3)]:-:Pieces: []
Tile:[(-9, 3)]:-:Pieces: []
Tile:[(-8, 3)]:-:Pieces: []
Tile:[(-7, 3)]:-:Pieces: []
Tile:[(-6, 3)]:-:Pieces: []
Tile:[(-5, 3)]:-:Pieces: []
Tile:[(-4, 3)]:-:Pieces: []
Tile:[(-3, 3)]:-:Pieces: []
Tile:[(-2, 3)]:-:Pieces: []
Tile:[(-1, 3)]:-:Pieces: []
Tile:[(0, 3)]:-:Pieces: []
Tile:[(1, 3)]:-:Pieces: []
Tile:[(2, 3)]:-:Pieces: []
Tile:[(3, 3)]:-:Pieces: []
Tile:[(4, 3)]:-:Pieces: []
Tile:[(5, 3)]:-:Pieces: []
Tile:[(6, 3)]:-:Pieces: []
Tile:[(7, 3)]:-:Pieces: []
Tile:[(8, 3)]:-:Pieces: []
Tile:[(9, 3)]:-:Pieces: []
Tile:[(10, 3)]:-:Pieces: []
Tile:[(-12, 2)]:-:Pieces: []
Tile:[(-11, 2)]:-:Pieces: []
Tile:[(-10, 2)]:-:Pieces: []
Tile:[(-9, 2)]:-:Pieces: []
Tile:[(-8, 2)]:-:Pieces: []
Tile:[(-7, 2)]:-:Pieces: []
Tile:[(-6, 2)]:-:Pieces: []
Tile:[(-5, 2)]:-:Pieces: []
Tile:[(-4, 2)]:-:Pieces: []
Tile:[(-3, 2)]:-:Pieces: []
Tile:[(-2, 2)]:-:Pieces: []
Tile:[(-1, 2)]:-:Pieces: []
Tile:[(0, 2)]:-:Pieces: []
Tile:[(1, 2)]:-:Pieces: []
Tile:[(2, 2)]:-:Pieces: []
Tile:[(3, 2)]:-:Pieces: []
Tile:[(4, 2)]:-:Pieces: []
Tile:[(5, 2)]:-:Pieces: []
Tile:[(6, 2)]:-:Pieces: []
Tile:[(7, 2)]:-:Pieces: []
Tile:[(8, 2)]:-:Pieces: []
Tile:[(9, 2)]:-:Pieces: []
Tile:[(10, 2)]:-:Pieces: []
Tile:[(-11, 1)]:-:Pieces: []
Tile:[(-10, 1)]:-:Pieces: []
Tile:[(-9, 1)]:-:Pieces: []
Tile:[(-8, 1)]:-:Pieces: []
Tile:[(-7, 1)]:-:Pieces: []
Tile:[(-6, 1)]:-:Pieces: []
Tile:[(-5, 1)]:-:Pieces: []
Tile:[(-4, 1)]:-:Pieces: []
Tile:[(-3, 1)]:-:Pieces: []
Tile:[(-2, 1)]:-:Pieces: []
Tile:[(-1, 1)]:-:Pieces: []
Tile:[(0, 1)]:-:Pieces: []
Tile:[(1, 1)]:-:Pieces: []
Tile:[(2, 1)]:-:Pieces: []
Tile:[(3, 1)]:-:Pieces: []
Tile:[(4, 1)]:-:Pieces: []
Tile:[(5, 1)]:-:Pieces: []
Tile:[(6, 1)]:-:Pieces: []
Tile:[(7, 1)]:-:Pieces: []
Tile:[(8, 1)]:-:Pieces: []
Tile:[(9, 1)]:-:Pieces: []
Tile:[(10, 1)]:-:Pieces: []
Tile:[(11, 1)]:-:Pieces: []
Tile:[(-11, 0)]:-:Pieces: []
Tile:[(-10, 0)]:-:Pieces: []
Tile:[(-9, 0)]:-:Pieces: []
Tile:[(-8, 0)]:-:Pieces: []
Tile:[(-7, 0)]:-:Pieces: []
Tile:[(-6, 0)]:-:Pieces: []
Tile:[(-5, 0)]:-:Pieces: []
Tile:[(-4, 0)]:-:Pieces: []
Tile:[(-3, 0)]:-:Pieces: []
Tile:[(-2, 0)]:-:Pieces: []
Tile:[(-1, 0)]:-:Pieces: []
Tile:[(0, 0)]:-:Pieces: ['Queen: (440, 380)']
Tile:[(1, 0)]:-:Pieces: ['Beetle: (480, 380)']
Tile:[(2, 0)]:-:Pieces: []
Tile:[(3, 0)]:-:Pieces: []
Tile:[(4, 0)]:-:Pieces: []
Tile:[(5, 0)]:-:Pieces: []
Tile:[(6, 0)]:-:Pieces: []
Tile:[(7, 0)]:-:Pieces: []
Tile:[(8, 0)]:-:Pieces: []
Tile:[(9, 0)]:-:Pieces: []
Tile:[(10, 0)]:-:Pieces: []
Tile:[(11, 0)]:-:Pieces: []
Tile:[(-10, -1)]:-:Pieces: []
Tile:[(-9, -1)]:-:Pieces: []
Tile:[(-8, -1)]:-:Pieces: []
Tile:[(-7, -1)]:-:Pieces: []
Tile:[(-6, -1)]:-:Pieces: []
Tile:[(-5, -1)]:-:Pieces: []
Tile:[(-4, -1)]:-:Pieces: []
Tile:[(-3, -1)]:-:Pieces: []
Tile:[(-2, -1)]:-:Pieces: []
Tile:[(-1, -1)]:-:Pieces: ['Grasshopper: (380, 346)']
Tile:[(0, -1)]:-:Pieces: ['Queen: (420, 346)']
Tile:[(1, -1)]:-:Pieces: []
Tile:[(2, -1)]:-:Pieces: ['Ant: (500, 346)']
Tile:[(3, -1)]:-:Pieces: []
Tile:[(4, -1)]:-:Pieces: []
Tile:[(5, -1)]:-:Pieces: []
Tile:[(6, -1)]:-:Pieces: []
Tile:[(7, -1)]:-:Pieces: []
Tile:[(8, -1)]:-:Pieces: []
Tile:[(9, -1)]:-:Pieces: []
Tile:[(10, -1)]:-:Pieces: []
Tile:[(11, -1)]:-:Pieces: []
Tile:[(12, -1)]:-:Pieces: []
Tile:[(-10, -2)]:-:Pieces: []
Tile:[(-9, -2)]:-:Pieces: []
Tile:[(-8, -2)]:-:Pieces: []
Tile:[(-7, -2)]:-:Pieces: []
Tile:[(-6, -2)]:-:Pieces: []
Tile:[(-5, -2)]:-:Pieces: []
Tile:[(-4, -2)]:-:Pieces: []
Tile:[(-3, -2)]:-:Pieces: []
Tile:[(-2, -2)]:-:Pieces: []
Tile:[(-1, -2)]:-:Pieces: ['Spider: (360, 312)']
Tile:[(0, -2)]:-:Pieces: []
Tile:[(1, -2)]:-:Pieces: []
Tile:[(2, -2)]:-:Pieces: []
Tile:[(3, -2)]:-:Pieces: []
Tile:[(4, -2)]:-:Pieces: []
Tile:[(5, -2)]:-:Pieces: []
Tile:[(6, -2)]:-:Pieces: []
Tile:[(7, -2)]:-:Pieces: []
Tile:[(8, -2)]:-:Pieces: []
Tile:[(9, -2)]:-:Pieces: []
Tile:[(10, -2)]:-:Pieces: []
Tile:[(11, -2)]:-:Pieces: []
Tile:[(12, -2)]:-:Pieces: []
Tile:[(-9, -3)]:-:Pieces: []
Tile:[(-8, -3)]:-:Pieces: []
Tile:[(-7, -3)]:-:Pieces: []
Tile:[(-6, -3)]:-:Pieces: []
Tile:[(-5, -3)]:-:Pieces: []
Tile:[(-4, -3)]:-:Pieces: []
Tile:[(-3, -3)]:-:Pieces: []
Tile:[(-2, -3)]:-:Pieces: []
Tile:[(-1, -3)]:-:Pieces: []
Tile:[(0, -3)]:-:Pieces: []
Tile:[(1, -3)]:-:Pieces: []
Tile:[(2, -3)]:-:Pieces: []
Tile:[(3, -3)]:-:Pieces: []
Tile:[(4, -3)]:-:Pieces: []
Tile:[(5, -3)]:-:Pieces: []
Tile:[(6, -3)]:-:Pieces: []
Tile:[(7, -3)]:-:Pieces: []
Tile:[(8, -3)]:-:Pieces: []
Tile:[(9, -3)]:-:Pieces: []
Tile:[(10, -3)]:-:Pieces: []
Tile:[(11, -3)]:-:Pieces: []
Tile:[(12, -3)]:-:Pieces: []
Tile:[(13, -3)]:-:Pieces: []
Tile:[(-9, -4)]:-:Pieces: []
Tile:[(-8, -4)]:-:Pieces: []
Tile:[(-7, -4)]:-:Pieces: []
Tile:[(-6, -4)]:-:Pieces: []
Tile:[(-5, -4)]:-:Pieces: []
Tile:[(-4, -4)]:-:Pieces: []
Tile:[(-3, -4)]:-:Pieces: []
Tile:[(-2, -4)]:-:Pieces: []
Tile:[(-1, -4)]:-:Pieces: []
Tile:[(0, -4)]:-:Pieces: []
Tile:[(1, -4)]:-:Pieces: []
Tile:[(2, -4)]:-:Pieces: []
Tile:[(3, -4)]:-:Pieces: []
Tile:[(4, -4)]:-:Pieces: []
Tile:[(5, -4)]:-:Pieces: []
Tile:[(6, -4)]:-:Pieces: []
Tile:[(7, -4)]:-:Pieces: []
Tile:[(8, -4)]:-:Pieces: []
Tile:[(9, -4)]:-:Pieces: []
Tile:[(10, -4)]:-:Pieces: []
Tile:[(11, -4)]:-:Pieces: []
Tile:[(12, -4)]:-:Pieces: []
Tile:[(13, -4)]:-:Pieces: []
Tile:[(-8, -5)]:-:Pieces: []
Tile:[(-7, -5)]:-:Pieces: []
Tile:[(-6, -5)]:-:Pieces: []
Tile:[(-5, -5)]:-:Pieces: []
Tile:[(-4, -5)]:-:Pieces: []
Tile:[(-3, -5)]:-:Pieces: []
Tile:[(-2, -5)]:-:Pieces: []
Tile:[(-1, -5)]:-:Pieces: []
Tile:[(0, -5)]:-:Pieces: []
Tile:[(1, -5)]:-:Pieces: []
Tile:[(2, -5)]:-:Pieces: []
Tile:[(3, -5)]:-:Pieces: []
Tile:[(4, -5)]:-:Pieces: []
Tile:[(5, -5)]:-:Pieces: []
Tile:[(6, -5)]:-:Pieces: []
Tile:[(7, -5)]:-:Pieces: []
Tile:[(8, -5)]:-:Pieces: []
Tile:[(9, -5)]:-:Pieces: []
Tile:[(10, -5)]:-:Pieces: []
Tile:[(11, -5)]:-:Pieces: []
Tile:[(12, -5)]:-:Pieces: []
Tile:[(13, -5)]:-:Pieces: []
Tile:[(14, -5)]:-:Pieces: []
Tile:[(-8, -6)]:-:Pieces: []
Tile:[(-7, -6)]:-:Pieces: []
Tile:[(-6, -6)]:-:Pieces: []
Tile:[(-5, -6)]:-:Pieces: []
Tile:[(-4, -6)]:-:Pieces: []
Tile:[(-3, -6)]:-:Pieces: []
Tile:[(-2, -6)]:-:Pieces: []
Tile:[(-1, -6)]:-:Pieces: []
Tile:[(0, -6)]:-:Pieces: []
Tile:[(1, -6)]:-:Pieces: []
Tile:[(2, -6)]:-:Pieces: []
Tile:[(3, -6)]:-:Pieces: []
Tile:[(4, -6)]:-:Pieces: []
Tile:[(5, -6)]:-:Pieces: []
Tile:[(6, -6)]:-:Pieces: []
Tile:[(7, -6)]:-:Pieces: []
Tile:[(8, -6)]:-:Pieces: []
Tile:[(9, -6)]:-:Pieces: []
Tile:[(10, -6)]:-:Pieces: []
Tile:[(11, -6)]:-:Pieces: []
Tile:[(12, -6)]:-:Pieces: []
Tile:[(13, -6)]:-:Pieces: []
Tile:[(14, -6)]:-:Pieces: []
Tile:[(-7, -7)]:-:Pieces: []
Tile:[(-6, -7)]:-:Pieces: []
Tile:[(-5, -7)]:-:Pieces: []
Tile:[(-4, -7)]:-:Pieces: []
Tile:[(-3, -7)]:-:Pieces: []
Tile:[(-2, -7)]:-:Pieces: []
Tile:[(-1, -7)]:-:Pieces: []
Tile:[(0, -7)]:-:Pieces: []
Tile:[(1, -7)]:-:Pieces: []
Tile:[(2, -7)]:-:Pieces: []
Tile:[(3, -7)]:-:Pieces: []
Tile:[(4, -7)]:-:Pieces: []
Tile:[(5, -7)]:-:Pieces: []
Tile:[(6, -7)]:-:Pieces: []
Tile:[(7, -7)]:-:Pieces: []
Tile:[(8, -7)]:-:Pieces: []
Tile:[(9, -7)]:-:Pieces: []
Tile:[(10, -7)]:-:Pieces: []
Tile:[(11, -7)]:-:Pieces: []
Tile:[(12, -7)]:-:Pieces: []
Tile:[(13, -7)]:-:Pieces: []
Tile:[(14, -7)]:-:Pieces: []
Tile:[(15, -7)]:-:Pieces: []
Tile:[(-7, -8)]:-:Pieces: []
Tile:[(-6, -8)]:-:Pieces: []
Tile:[(-5, -8)]:-:Pieces: []
Tile:[(-4, -8)]:-:Pieces: []
Tile:[(-3, -8)]:-:Pieces: []
Tile:[(-2, -8)]:-:Pieces: []
Tile:[(-1, -8)]:-:Pieces: []
Tile:[(0, -8)]:-:Pieces: []
Tile:[(1, -8)]:-:Pieces: []
Tile:[(2, -8)]:-:Pieces: []
Tile:[(3, -8)]:-:Pieces: []
Tile:[(4, -8)]:-:Pieces: []
Tile:[(5, -8)]:-:Pieces: []
Tile:[(6, -8)]:-:Pieces: []
Tile:[(7, -8)]:-:Pieces: []
Tile:[(8, -8)]:-:Pieces: []
Tile:[(9, -8)]:-:Pieces: []
Tile:[(10, -8)]:-:Pieces: []
Tile:[(11, -8)]:-:Pieces: []
Tile:[(12, -8)]:-:Pieces: []
Tile:[(13, -8)]:-:Pieces: []
Tile:[(14, -8)]:-:Pieces: []
Tile:[(15, -8)]:-:Pieces: []
Tile:[(-6, -9)]:-:Pieces: []
Tile:[(-5, -9)]:-:Pieces: []
Tile:[(-4, -9)]:-:Pieces: []
Tile:[(-3, -9)]:-:Pieces: []
Tile:[(-2, -9)]:-:Pieces: []
Tile:[(-1, -9)]:-:Pieces: []
Tile:[(0, -9)]:-:Pieces: []
Tile:[(1, -9)]:-:Pieces: []
Tile:[(2, -9)]:-:Pieces: []
Tile:[(3, -9)]:-:Pieces: []
Tile:[(4, -9)]:-:Pieces: []
Tile:[(5, -9)]:-:Pieces: []
Tile:[(6, -9)]:-:Pieces: []
Tile:[(7, -9)]:-:Pieces: []
Tile:[(8, -9)]:-:Pieces: []
Tile:[(9, -9)]:-:Pieces: []
Tile:[(10, -9)]:-:Pieces: []
Tile:[(11, -9)]:-:Pieces: []
Tile:[(12, -9)]:-:Pieces: []
Tile:[(13, -9)]:-:Pieces: []
Tile:[(14, -9)]:-:Pieces: []
Tile:[(15, -9)]:-:Pieces: []
Tile:[(16, -9)]:-:Pieces: []
Tile:[(-6, -10)]:-:Pieces: []
Tile:[(-5, -10)]:-:Pieces: []
Tile:[(-4, -10)]:-:Pieces: []
Tile:[(-3, -10)]:-:Pieces: []
Tile:[(-2, -10)]:-:Pieces: []
Tile:[(-1, -10)]:-:Pieces: []
Tile:[(0, -10)]:-:Pieces: []
Tile:[(1, -10)]:-:Pieces: []
Tile:[(2, -10)]:-:Pieces: []
Tile:[(3, -10)]:-:Pieces: []
Tile:[(4, -10)]:-:Pieces: []
Tile:[(5, -10)]:-:Pieces: []
Tile:[(6, -10)]:-:Pieces: []
Tile:[(7, -10)]:-:Pieces: []
Tile:[(8, -10)]:-:Pieces: []
Tile:[(9, -10)]:-:Pieces: []
Tile:[(10, -10)]:-:Pieces: []
Tile:[(11, -10)]:-:Pieces: []
Tile:[(12, -10)]:-:Pieces: []
Tile:[(13, -10)]:-:Pieces: []
Tile:[(14, -10)]:-:Pieces: []
Tile:[(15, -10)]:-:Pieces: []
Tile:[(16, -10)]:-:Pieces: []
Tile:[(-5, -11)]:-:Pieces: []
Tile:[(-4, -11)]:-:Pieces: []
Tile:[(-3, -11)]:-:Pieces: []
Tile:[(-2, -11)]:-:Pieces: []
Tile:[(-1, -11)]:-:Pieces: []
Tile:[(0, -11)]:-:Pieces: []
Tile:[(1, -11)]:-:Pieces: []
Tile:[(2, -11)]:-:Pieces: []
Tile:[(3, -11)]:-:Pieces: []
Tile:[(4, -11)]:-:Pieces: []
Tile:[(5, -11)]:-:Pieces: []
Tile:[(6, -11)]:-:Pieces: []
Tile:[(7, -11)]:-:Pieces: []
Tile:[(8, -11)]:-:Pieces: []
Tile:[(9, -11)]:-:Pieces: []
Tile:[(10, -11)]:-:Pieces: []
Tile:[(11, -11)]:-:Pieces: []
Tile:[(12, -11)]:-:Pieces: []
Tile:[(13, -11)]:-:Pieces: []
Tile:[(14, -11)]:-:Pieces: []
Tile:[(15, -11)]:-:Pieces: []
Tile:[(16, -11)]:-:Pieces: []
Tile:[(17, -11)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: ['Beetle: (134.0, 852.0)']
Tile:[(99, 99)]:-:Pieces: ['Spider: (220.0, 807.0)']
Tile:[(99, 99)]:-:Pieces: ['Spider: (220.0, 852.0)']
Tile:[(99, 99)]:-:Pieces: ['Grasshopper: (306.0, 787.0)']
Tile:[(99, 99)]:-:Pieces: ['Grasshopper: (306.0, 829.0)']
Tile:[(99, 99)]:-:Pieces: ['Grasshopper: (306.0, 871.0)']
Tile:[(99, 99)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: ['Ant: (392.0, 829.0)']
Tile:[(99, 99)]:-:Pieces: ['Ant: (392.0, 871.0)']
Tile:[(99, 99)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: ['Beetle: (574.0, 807.0)']
Tile:[(99, 99)]:-:Pieces: ['Beetle: (574.0, 852.0)']
Tile:[(99, 99)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: ['Spider: (660.0, 852.0)']
Tile:[(99, 99)]:-:Pieces: []
Tile:[(99, 99)]:-:Pieces: ['Grasshopper: (746.0, 829.0)']
Tile:[(99, 99)]:-:Pieces: ['Grasshopper: (746.0, 871.0)']
Tile:[(99, 99)]:-:Pieces: ['Ant: (832.0, 787.0)']
Tile:[(99, 99)]:-:Pieces: ['Ant: (832.0, 829.0)']
Tile:[(99, 99)]:-:Pieces: ['Ant: (832.0, 871.0)']
==============================================
